doc_id	cause_num	adjudication_date	receipt_date	date_publ	judge	doc_url	court_code	judgment_code
135274900	990/251/25	2026-03-12 00:00:00+02	2026-03-31 00:00:00+03	2026-04-01 00:00:00+03	Кривенда Олег Вікторович	http://od.reyestr.court.gov.ua/files/67/941ace79f8eb29547c90dbfae6e4781b.rtf	9951	2
135274899	990/36/25	2026-03-05 00:00:00+02	2026-03-31 00:00:00+03	2026-04-01 00:00:00+03	Губська Олена Анатоліївна	http://od.reyestr.court.gov.ua/files/67/3b53a7c23aa650ed1eabed029a310b27.rtf	9951	2
135274905	761/42070/23	2026-03-25 00:00:00+02	2026-03-31 00:00:00+03	2026-04-01 00:00:00+03	Булейко Ольга Леонідівна	http://od.reyestr.court.gov.ua/files/67/bfa81b39214571478ab6ceae89f7849f.rtf	9951	2
135274901	990/449/25	2026-03-12 00:00:00+02	2026-03-31 00:00:00+03	2026-04-01 00:00:00+03	Кривенда Олег Вікторович	http://od.reyestr.court.gov.ua/files/67/754e9d570ffb8eae467b312f7a8ce987.rtf	9951	2
135274908	990/491/25	2026-03-26 00:00:00+02	2026-03-31 00:00:00+03	2026-04-01 00:00:00+03	Губська Олена Анатоліївна	http://od.reyestr.court.gov.ua/files/67/cda9d98d652d68ee89137442ba384932.rtf	9951	2
135350077	1-07/07	2026-03-25 00:00:00+02	2026-04-02 00:00:00+03	2026-04-08 00:00:00+03	Король Володимир Володимирович	http://od.reyestr.court.gov.ua/files/67/9051d9a2bf463c11a9122ba99733d874.rtf	9951	2
135386587	990/233/24	2026-03-26 00:00:00+02	2026-04-03 00:00:00+03	2026-04-06 00:00:00+03	Кривенда Олег Вікторович	http://od.reyestr.court.gov.ua/files/67/6c6da6706380d658072c3ff7b1da0c35.rtf	9951	2
135386589	990/331/25	2026-03-26 00:00:00+02	2026-04-03 00:00:00+03	2026-04-06 00:00:00+03	Кривенда Олег Вікторович	http://od.reyestr.court.gov.ua/files/67/be0801586b7fc15847ec04508e0c5896.rtf	9951	2
135386591	990/595/25	2026-03-26 00:00:00+02	2026-04-03 00:00:00+03	2026-04-06 00:00:00+03	Гімон Микола Михайлович	http://od.reyestr.court.gov.ua/files/67/c59c3f54a9be908fc705fe8dce3aa27e.rtf	9951	2
135386619	990/228/25	2026-04-01 00:00:00+03	2026-04-03 00:00:00+03	2026-04-06 00:00:00+03	Кривенда Олег Вікторович	http://od.reyestr.court.gov.ua/files/67/9afb5016d0dd0979f7308a3b7560c5a9.rtf	9951	2
135386595	990/218/25	2026-03-19 00:00:00+02	2026-04-03 00:00:00+03	2026-04-06 00:00:00+03	Гімон Микола Михайлович	http://od.reyestr.court.gov.ua/files/67/eefd718529b15a9566699c03fd37d26c.rtf	9951	2
135386585	9901/283/21	2026-03-19 00:00:00+02	2026-04-03 00:00:00+03	2026-04-06 00:00:00+03	Кривенда Олег Вікторович	http://od.reyestr.court.gov.ua/files/67/479aaa4b03f50909af9100da5e0148d0.rtf	9951	2
135386575	990/397/25	2026-03-19 00:00:00+02	2026-04-03 00:00:00+03	2026-04-06 00:00:00+03	Кривенда Олег Вікторович	http://od.reyestr.court.gov.ua/files/67/7b0014fc0dbe43500c1f9d067481731f.rtf	9951	2
135386577	990/329/25	2026-03-19 00:00:00+02	2026-04-03 00:00:00+03	2026-04-06 00:00:00+03	Гімон Микола Михайлович	http://od.reyestr.court.gov.ua/files/67/f4c09cb569f38a5a9163b832127f0c52.rtf	9951	2
135443482	990/305/25	2026-04-02 00:00:00+03	2026-04-06 00:00:00+03	2026-04-07 00:00:00+03	Гімон Микола Михайлович	http://od.reyestr.court.gov.ua/files/67/7d8c8e332c8abbd382f7da52f0569c78.rtf	9951	2
135443487	990/165/25	2026-04-02 00:00:00+03	2026-04-06 00:00:00+03	2026-04-07 00:00:00+03	Стрелець Тетяна Геннадіївна	http://od.reyestr.court.gov.ua/files/67/9ca525a95c0d23fddd93ddb803fd5817.rtf	9951	2
135443485	990SСGС/41/25	2026-04-02 00:00:00+03	2026-04-06 00:00:00+03	2026-04-07 00:00:00+03	Губська Олена Анатоліївна	http://od.reyestr.court.gov.ua/files/67/abab0714c0286961d049babf954d43aa.rtf	9951	2
135443486	990/183/25	2026-04-02 00:00:00+03	2026-04-06 00:00:00+03	2026-04-07 00:00:00+03	Стрелець Тетяна Геннадіївна	http://od.reyestr.court.gov.ua/files/67/14197c4bfffa8e26bec10def3659519a.rtf	9951	2
135443484	990/395/25	2026-04-02 00:00:00+03	2026-04-06 00:00:00+03	2026-04-07 00:00:00+03	Стрелець Тетяна Геннадіївна	http://od.reyestr.court.gov.ua/files/67/797f4939131860b5109f65973b64f8b3.rtf	9951	2
135443479	240/12897/25	2026-04-02 00:00:00+03	2026-04-06 00:00:00+03	2026-04-07 00:00:00+03	Губська Олена Анатоліївна	http://od.reyestr.court.gov.ua/files/67/8de5e0dd8920e981f4dee5c029b40cd9.rtf	9951	2
135479320	990SСGС/48/25	2026-04-02 00:00:00+03	2026-04-07 00:00:00+03	2026-04-08 00:00:00+03	Кривенда Олег Вікторович	http://od.reyestr.court.gov.ua/files/67/2416c7f6ff4c6792ffc2b21d0b36cf0e.rtf	9951	2
135577422	990/153/25	2026-04-08 00:00:00+03	2026-04-10 00:00:00+03	2026-04-13 00:00:00+03	Кривенда Олег Вікторович	http://od.reyestr.court.gov.ua/files/67/5b7d4eaa6269114f3a745cab0fda6d16.rtf	9951	2
135577424	990/166/25	2026-04-08 00:00:00+03	2026-04-10 00:00:00+03	2026-04-13 00:00:00+03	Кривенда Олег Вікторович	http://od.reyestr.court.gov.ua/files/67/eec45a5f9edea48acecbd53428414c87.rtf	9951	2
135623900	990/56/25	2026-04-08 00:00:00+03	2026-04-13 00:00:00+03	2026-04-14 00:00:00+03	Стрелець Тетяна Геннадіївна	http://od.reyestr.court.gov.ua/files/67/3e50d91d2b8cfaaa8fc76a7968b771b6.rtf	9951	2
135623891	990/477/25	2026-04-08 00:00:00+03	2026-04-13 00:00:00+03	2026-04-14 00:00:00+03	Гімон Микола Михайлович	http://od.reyestr.court.gov.ua/files/67/1ae19f74c53038e1fa0d6b2b0cd8b2fd.rtf	9951	2
135623897	990/434/25	2026-04-09 00:00:00+03	2026-04-13 00:00:00+03	2026-04-14 00:00:00+03	Гімон Микола Михайлович	http://od.reyestr.court.gov.ua/files/67/9504fdd92107132980e8d988f066c28b.rtf	9951	2
135623898	990/98/25	2026-04-09 00:00:00+03	2026-04-13 00:00:00+03	2026-04-14 00:00:00+03	Гімон Микола Михайлович	http://od.reyestr.court.gov.ua/files/67/4e646b284ad16c230877fe26f70a88fe.rtf	9951	2
135623901	990/160/25	2026-04-09 00:00:00+03	2026-04-13 00:00:00+03	2026-04-14 00:00:00+03	Стрелець Тетяна Геннадіївна	http://od.reyestr.court.gov.ua/files/67/a7e326d093a6b6e9759ada8d931a6d62.rtf	9951	2
135804847	990/219/25	2026-03-26 00:00:00+02	2026-04-20 00:00:00+03	2026-04-21 00:00:00+03	Гімон Микола Михайлович	http://od.reyestr.court.gov.ua/files/67/8edfe4f7198d31b1b75c112b0fbb43c8.rtf	9951	2
135804845	990/165/25	2026-04-02 00:00:00+03	2026-04-20 00:00:00+03	2026-04-21 00:00:00+03	Стрелець Тетяна Геннадіївна	http://od.reyestr.court.gov.ua/files/67/9c9f3917542e620106205b049cf056db.rtf	9951	2
135804853	990SСGС/41/25	2026-04-02 00:00:00+03	2026-04-20 00:00:00+03	2026-04-21 00:00:00+03	Губська Олена Анатоліївна	http://od.reyestr.court.gov.ua/files/67/5db125fa8c67c8499ae7c679b5dd2c8b.rtf	9951	2
135804896	2а-9957/12/2670	2026-04-16 00:00:00+03	2026-04-20 00:00:00+03	2026-04-21 00:00:00+03	Гімон Микола Михайлович	http://od.reyestr.court.gov.ua/files/67/77a19b5dafb3613f4c271591a15bebff.rtf	9951	2
135804899	990/490/25	2026-04-16 00:00:00+03	2026-04-20 00:00:00+03	2026-04-21 00:00:00+03	Стрелець Тетяна Геннадіївна	http://od.reyestr.court.gov.ua/files/67/ec477358afe2a0a375d3a0aa17265396.rtf	9951	2
135804914	990/592/25	2026-04-16 00:00:00+03	2026-04-20 00:00:00+03	2026-04-21 00:00:00+03	Губська Олена Анатоліївна	http://od.reyestr.court.gov.ua/files/67/b25675121952b0be4ce698c15d1fa5fc.rtf	9951	2
135804900	990/5/25	2026-04-16 00:00:00+03	2026-04-20 00:00:00+03	2026-04-21 00:00:00+03	Гімон Микола Михайлович	http://od.reyestr.court.gov.ua/files/67/ff933c27bdccbbb4a2d6603a87acfd8c.rtf	9951	2
135804851	990/305/25	2026-04-02 00:00:00+03	2026-04-20 00:00:00+03	2026-04-21 00:00:00+03	Гімон Микола Михайлович	http://od.reyestr.court.gov.ua/files/67/501b5971eb46425553bcc7c6af503eb2.rtf	9951	2
135804910	990/16/26	2026-04-16 00:00:00+03	2026-04-20 00:00:00+03	2026-04-21 00:00:00+03	Губська Олена Анатоліївна	http://od.reyestr.court.gov.ua/files/67/c66812bd33e843c4577413dae75c4ed2.rtf	9951	2
135804843	990/214/25	2026-04-02 00:00:00+03	2026-04-20 00:00:00+03	2026-04-21 00:00:00+03	Гімон Микола Михайлович	http://od.reyestr.court.gov.ua/files/67/ce6fe57e9cfc78f6538e758999f2ead8.rtf	9951	2
